Name,ULAN,Wikidata
City Art Museum of St. Louis,500308329,Q1760539
Colorado Springs Fine Arts Center,500305675,Q5148924
Contemporary Arts Museum Houston,500211901,Q93691
Corridor Gallery,,
"Davison Art Center, Wesleyan University",500302850,
DeCordova Museum,500301487,Q2019741
"Dwight Art Memorial, Mount Holyoke College",500309131,
Galleria Nazionale d'Arte Moderna,500290584,Q1492387
Gallerie dell'Accademia,500312341,Q338330
Gallery 64,,
Goga,,
Grand Rapids Art Gallery,500448700,
"Hamburg, Amerika-Haus",,
"Henry Gallery, University of Washington",500308858,Q5717411
Hirshhorn Museum and Sculpture Garden,500312780,Q1620553
Historisches Museum der Stadt Wien,500301039,Q505873
Indianapolis Museum of Art,500300517,Q1117704
"Institute for the Arts, Rice University",500253720,
Jack the Pelican,,
Kunstrunde,,
MoMA QNS,500274556,
Munson-Williams-Proctor Institute,500312125,Q2999262
Musee du Quebec,500310429,Q2338135
"Museum of Fine Arts, Boston",500305147,Q49133
MWMWM,,
Nationalgalerie Berlin,500211953,Q162610
Padiglione d'Arte Contemporanea,500300254,Q3888740
Palais des Beaux-Arts,500306185,Q2285837
Palazzo delle Esposizioni,500231865,Q2579612
Parker's Box,,
Prospect Park Alliance,500274873,
Queensland Art Gallery,500305672,Q7270900
Residenzgalerie,500308493,Q1248553
Roebling Hall Satellite,,
"Rose Art Museum, Brandeis University",500312723,
Royal Academy of Arts,500115632,Q270920
San Diego Museum of Art,500308532,Q1368166
Santa Barbara Museum of Art,500308692,Q7419233
South Brooklyn Board of Trade,,
Staatliche Kunsthalle Karlsruhe,500300796,Q658725
State Teachers College,,
"State Teachers College, State University of New York",500304566,
Stedelijk Van Abbemuseum,500223140,Q1782422
The Arts Club of Chicago,500263124,
The Denver Art Museum,500242559,Q1189960
The Norton Gallery and School of Art,500311705,
The Pennsylvania State University,500312098,
The Toledo Museum of Art,500245395,Q1743116
The University of Michigan Museum of Art,500305481,Q2495870
"University Art Museum, University of California",500231612,Q168756
University of Arkansas,500312898,Q1070333
University of Kentucky,500312903,Q1360303
University of Michigan Museum of Art,500305481,Q2495870
University of Oregon,500300173,Q766145
Virginia Museum of Fine Arts,500310718,Q4013975
Washington University Gallery of Art,,Q777403
Woman's College of the University of North Carolina,500312911,
210 Gallery,,
A.I.R. Gallery,,Q4647184
Abraham Lincoln High School,,Q4669021
"Addison Gallery of American Art, Phillips Academy",500305452,Q4681251
Adelphi College,,Q4682076
Akron Art Institute,500304491,Q420869
Albany Institute of History and Art,,Q4709330
Albion College,,Q2831920
All Communities Arts,,
Allen Memorial An Museum,500303823,Q3816734
Allentown Art Museum,500304934,Q3612510
American Society of Painters in Water Colors,,
Anchorage Historical and Fine Arts Center,500305444,
Art Association of Lake Charles,,
Art Brooklyn,,
Art Center in La Jolla,,Q30057574
Art Gallery of South Australia,500304440,Q705557
"Art Gallery, Center for Inter-American Relations",500303873,
"Art Gallery, University of Notre Dame",500303758,
Artists Space Gallery,500221205,
"Arts Center Gallery, University of Arkansas",500312898,
Arts Club of Washington,,
Asia Society Hong Kong Center,,
Ateneo de Caracas,,
Ateneumin Taidekokoelmat,500300276,
Augusta Art Club,,
Avon Old Farms School,,
BAC Gallery,,
Barbican Art Gallery,500301680,Q79098101
Beaverbrook Art Gallery,500305383,Q3094641
Beloit College,500308029,
Bennington College,,Q817902
Berkeley Carroll Street School,,
Biblioteca Nacional Madrid,500302319,
Birmingham Art Club,,
Birmingham Museum of Art,500294043,Q865736
Black & White Club,,Q30598846
Bond Street Art Gallery,500445404,
Brandeis University Library,500312724,
"Braunschweig, Amerika-Haus",,
"Bremen, Amerika-Haus",,
"Bremerhaven, Amerika-Haus",,
Brooklyn Art Fund,,
Brooklyn Art Gallery,,
Brooklyn Art Guild,,
Brooklyn Athenaeum,,
Brooklyn Center for the Urban Environment,,
Brooklyn Coalition of Artists in Park Slope,,
Brooklyn Fireproof,,
Brooklyn Heights Montessori School,,
Brooklyn Industrial Institute,,
Brooklyn Lyceum,,
Brooklyn Museum Community Committee,,
Brooklyn Navy Yard,,
Brooklyn Watercolor Artists,,
Brooklyn Woman's Club,,
Brooks Memorial Art Gallery,500302737,
"Brunnier Gallery, Iowa State Center",,
California Museum of Photography at UCR ARTSblock,,
Caloste Gulbenkian Foundation,500301532,
Campo dell'Arsenale,,Q1262248
"Carolina Art Association, Gibbes Memorial Art Gallery",500446375,
Carpenter Art Galleries,,
"Carpenter Art Galleries, Dartmouth College",500329579,
Cason del Buen Retiro,500302323,
Catholic University of America,500312921,Q179036
Cave,,
Cedar Rapids Museum of Art,500353464,Q6940755
Centre College of Kentucky,,
Centre National d'Art Contemporain,500310105,Q178065
"Chicago, 111. The Arts Club of Chicago",500263124,
"Chicago, Ill., The Arts Club of Chicago",500263124,
Chouinarrd Art Institute,,
Cittadella dei Musei,,
Clare Walker Gallery,,
Colgate University,500307913,Q1191335
College of St. Scholastica,,
Columbia Museum of Art,500437012,Q2383136
Columbus Gallery of Art,500293957,Q5935366
Congregation Beth Elohim,,
Consolidated Arts,,
Cornell University,500300609,Q49115
Crocker Art Museum,500308299,Q3003161
Daimaru Museum (Osaka),500304182,
Daimaru Museum (Tokyo),,
Danforth Museum of Art,500305338,Q16954084
Dany,,
Dart Gallery,,
Davenport Municipal Art Gallery,500306296,
"David and Alfred Smart Gallery, University of Chicago",500304714,
"Department of Fine Arts, Carnegie Institute",,
Des Moines Association of Fine Arts,,
Deuxitnu Salon des realites nouvelles,500310810,
Dorsey Art Gallery,,
Downtown Art Gallery (DART),,
Duke University,500312926,Q168751
DUMBO Arts,,
"Dusseldorf, Kunsthalle",500433998,
Eastern Michigan College,,
Eighth Street Playhouse Art Gallery,,
Elders Share the Arts & New York Artists Equity Association,,
Emerging Arts,,
Everhart Museum,500308852,Q5417261
eyewash,,
Feed,,
Figureworks,,
"Fine Arts Center, University of Mississippi",,
Fine Arts Gallery,,Q1368166
Fine Arts Guild,,
Firma Nordkunst,,
Flame,,
Flatbush Chamber of Commerce,,
Flatbush Library,,
Fondazione Giorgio Cini,500225307,
Fort Worth Art Association,,
"Frederick S. Wight Art Gallery, University of California",500302159,
Fukuoka Prefectural Museum of Art,500305808,Q11592587
Galerie L'Indochine,,
Galerie Otto Ralls,,
"Galleria d'Arte Moderna, Milan",500302890,Q3757721
Galleria Origine,,
Gallery 91,,
General Electric,500300205,Q54173
Georgia Institute of Technology,500312929,Q864855
Gibbes Memorial Art Gallery,500300098,
Gibbes Museum of Art,500446375,Q15221656
Goliath,,
Grand Palais,500237738,Q457318
Grand Rapids Art Museum,500353464,Q3412050
Great Eastern Numismatic Society,,
Greco Art Studio/Gallery,,
Hamilton College,500305191,Q5644882
Hara Museum ARC,500252722,Q60400398
Harpur College,,
Harvard University Art Museums,500307202,Q3783572
"Hastings Gallery, The Spanish Institute",,
"Hathorn Gallery, Skidmore College",,
Hebrew Educational Society,,
Heckscher Museum,500300457,Q5696477
"Helen Foresman Spencer Museum of Art, University of Kansas",500301250,
Helsingin Kaupungin Taidemuseo,500300280,Q5710459
Hermes Gallery,,
Hokkaido Museum of Modern Art,500308796,Q11402992
Honolulu Academy of Arts,500300401,Q128316
Hope & Anchor,,
Howard University,500312781,Q1068752
Howclom College Museum of Fine Arts,,
Hudson Waterfront Museum,,
Illinois State Normal University,,
Independence Community Gallery,,
"Iowa City, Iowa, University of Iowa Museum or Art",500300545,Q7895562
Isaac Delgado Museum of Art,500303571,
John and Mable Ringling Museum of Art,500283602,Q612530
Joslyn Art Museum,500304137,Q1372546
Kagawa Prefectural Cultural Center,,
Kalamazoo Institute of Arts,500300750,Q6350390
Katonah Gallery of Art,500300830,
"Kenneth Taylor Galleries of the Nantucket Foundation, Inc.",,
Kestner-Gesellschaft,500307931,Q565375
Kunsthalle Basel,500307518,Q614652
Kunsthalle Bremen,500305639,Q693591
Kunsthalle der Hypo-Kulturstiftung,500303315,Q1367890
Kunsthalle Helsinki,500258612,
Kunsthalle Tubingen,500230074,Q509617
Kunsthalle Wien,500237460,Q677548
Kunstkabinett,500449301,
Kunstmuseum Bern,500304513,Q19362502
Kunstnernes Hus,500304223,Q1772519
Kunstsammlung Nordrhein-Westfalen,500279331,Q548427
Kunstverein Hannover,500307933,Q143590
Kusthalie Basel,,
Kyoto Daimaru Museum,,
La Boheme,,
La Jolla Museum of Contemporary Art,500308529,
LaGuardia Community College,,
Laguna Beach Art Association,500301188,
Landesmuseum,,Q314082
Lannan Foundation,500309941,
"Lawrence Art Museum, Williams College",500311730,
Lincoln Gallery,,
Los Angeles Municipal Art Center Gallery,500213200,
Louisiana Museum for Modern Art,500238093,Q1410617
"Lyon Art Hall, Ohio Wesleyan University",500312876,
Lyons Wier Ortt Gallery,,
Madarts Studios Gallery,,
Marywood College,,
Memorial Art Gallery of the University of Rochester,500310928,Q6815343
Micro Museum,,
Midland Art Center,,
Milwaukee Art Institute,500302978,
Milwaukee Art Museum,500302980,Q325712
Minneapolis Institute of Art,500225381,Q1700481
Mint Museum of Art,500300104,Q6869561
Moderna Museet,500309235,Q1274511
Monster Gallery,,
Montana State College,500305586,
Montana State University,500305586,Q1861687
Mountt Holyoke Friends of Art,,
"Munich, Amerika-Haus",,
Municipal Art Center,,Q6672317
Murray and Isabella Rayburn Foundation,,
Muse Community Museum,,
Musee de Grenoble,500306927,Q1952944
Musee des Arts Decoratifs,500310006,Q1319378
Musee des Beaux-Arts,500302273,Q511
Musee Picasso,500310019,Q743206
"Musees Royaux des Beaux-Aris de Belgique, Musee d'Art Moderne",500306179,
Museo de Arte Contemporaneo de Caracas,500307699,Q2184071
Museo de Bellas Artes,500250849,Q1848918
Museo Municipal de Bellas Artes de Santander,500308723,Q6033887
Museo Nacional Centro de Arte Reina Sofia,500270374,Q460889
Museo Nacional de Bellas Artes,500250849,Q1848918
Museu de Arte de Sao Paulo Assis Chateaubriand,500226907,Q82941
Museum Boymans-van Beuningen,500308264,Q679527
Museum des 20. Jahrhunderts,500212787,Q689951
Museum fur Gegenwartskunst,500307521,Q665622
Museum Jumex,,
Museum Ludwig Cologne,500305268,
Museum of Albuquerque,500221358,Q4712823
"Museum of Art, Munson-Williams-Proctor Institute",500312125,Q2999262
"Museum of Art, The Pennsylvania State University",500312100,
Museum of Fine Arts,500305147,Q1954748
Muzeul de Arta R.S.R.,,
N3 Project Space,,
Narodni Galerie Prague,500244830,Q1419555
National Collection of Fine Arts,500311463,Q1192305
National Gallery,500115983,Q214867
National Gallery of Victoria,500217629,Q1464509
Nationalgalerie,500125792,Q162610
Nelson Hancock Gallery,,
Nelson-Atkins Gallery of Art,500231020,
"New York State College of Home Economics, Cornell University",,
"Newcomb College, Tulane University",500274973,
Nicholas Evans-Cato Studio,,
Ntu Centre for Contemporary Art Singapore,,
Oak Ridge Community Art Center,,
Oregon State College,,Q861888
Pacific Arts Association,,
Palais des Beaux-Arts de la Ville de Paris,500310649,Q59546080
Palau de la Virreina,500307084,
Palazzo Ducale,500302592,Q1635704
Palazzo Grassi,500312399,
Palazzo Reale,500302951,Q51105
Park Slope Emerging Artists,,
